
ӳ������                       PID �Ự��              �Ự#       �ڴ�ʹ�� 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0     18,200 K
Registry                        96 Services                   0      8,128 K
smss.exe                       412 Services                   0        512 K
csrss.exe                      584 Services                   0      2,072 K
wininit.exe                    688 Services                   0      2,416 K
services.exe                   764 Services                   0      6,380 K
lsass.exe                      772 Services                   0     15,200 K
svchost.exe                    884 Services                   0        480 K
fontdrvhost.exe                904 Services                   0        564 K
svchost.exe                    924 Services                   0     26,432 K
WUDFHost.exe                  1000 Services                   0      4,548 K
svchost.exe                    372 Services                   0     13,148 K
svchost.exe                    540 Services                   0      5,552 K
svchost.exe                   1192 Services                   0      4,648 K
svchost.exe                   1364 Services                   0      8,792 K
svchost.exe                   1372 Services                   0      5,604 K
svchost.exe                   1380 Services                   0      4,236 K
svchost.exe                   1484 Services                   0      5,976 K
svchost.exe                   1560 Services                   0     10,492 K
svchost.exe                   1596 Services                   0      2,128 K
svchost.exe                   1636 Services                   0      4,724 K
svchost.exe                   1780 Services                   0    109,512 K
svchost.exe                   1788 Services                   0      1,524 K
svchost.exe                   1816 Services                   0      3,556 K
svchost.exe                   1844 Services                   0      4,616 K
svchost.exe                   1908 Services                   0      5,004 K
svchost.exe                   2028 Services                   0     16,256 K
Memory Compression            2036 Services                   0    585,332 K
svchost.exe                   1680 Services                   0      2,448 K
svchost.exe                   2008 Services                   0      3,764 K
svchost.exe                   2076 Services                   0      4,976 K
igfxCUIService.exe            2160 Services                   0      3,792 K
svchost.exe                   2180 Services                   0      2,964 K
svchost.exe                   2216 Services                   0      8,928 K
svchost.exe                   2248 Services                   0      3,568 K
svchost.exe                   2280 Services                   0      4,756 K
svchost.exe                   2388 Services                   0      5,172 K
svchost.exe                   2420 Services                   0      2,964 K
svchost.exe                   2468 Services                   0      6,852 K
svchost.exe                   2640 Services                   0     14,480 K
svchost.exe                   2656 Services                   0      8,116 K
svchost.exe                   2808 Services                   0     13,292 K
svchost.exe                   2836 Services                   0      2,472 K
svchost.exe                   2844 Services                   0      6,508 K
svchost.exe                   2964 Services                   0     14,392 K
svchost.exe                   3012 Services                   0     26,952 K
svchost.exe                   1124 Services                   0     13,208 K
svchost.exe                   3204 Services                   0     10,032 K
svchost.exe                   3284 Services                   0      7,256 K
spoolsv.exe                   3352 Services                   0      8,728 K
svchost.exe                   3624 Services                   0      6,900 K
AdobeUpdateService.exe        3708 Services                   0      3,040 K
AGMService.exe                3724 Services                   0      1,860 K
OfficeClickToRun.exe          3736 Services                   0     37,768 K
svchost.exe                   3760 Services                   0      9,320 K
svchost.exe                   3768 Services                   0      5,796 K
svchost.exe                   3776 Services                   0     22,432 K
svchost.exe                   3784 Services                   0     39,104 K
FlashHelperService.exe        3828 Services                   0      4,792 K
gwupdater.exe                 3860 Services                   0      1,904 K
gwservice.exe                 3884 Services                   0      2,336 K
ibtsiva.exe                   3908 Services                   0      1,564 K
svchost.exe                   3924 Services                   0      2,352 K
KMSSS.exe                     4068 Services                   0      1,072 K
NvTelemetryContainer.exe      4220 Services                   0      8,060 K
svchost.exe                   4228 Services                   0        864 K
sqlbrowser.exe                4240 Services                   0      4,204 K
QQProtect.exe                 4256 Services                   0     13,676 K
SecurityHealthService.exe     4264 Services                   0      8,500 K
nvcontainer.exe               4272 Services                   0      8,044 K
NVDisplay.Container.exe       4280 Services                   0      5,752 K
svchost.exe                   4292 Services                   0      3,624 K
sqlwriter.exe                 4300 Services                   0      1,604 K
SynTPEnhService.exe           4308 Services                   0      1,724 K
svchost.exe                   4320 Services                   0      5,832 K
svchost.exe                   4464 Services                   0      1,864 K
TeamViewer_Service.exe        4476 Services                   0     16,688 K
vmnetdhcp.exe                 4488 Services                   0      1,444 K
vmware-usbarbitrator64.ex     4520 Services                   0      2,612 K
vmnat.exe                     4544 Services                   0      2,684 K
svchost.exe                   5044 Services                   0      1,112 K
dasHost.exe                   5052 Services                   0     13,488 K
svchost.exe                   5060 Services                   0      9,788 K
svchost.exe                   5068 Services                   0     12,372 K
